School Name,STAR Location Code,Area,Begin,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Lunch,Min.,Instr.,Min.,Recess,Min.,Instr.,Min.,Dismiss,Min.,After
Trillium Woods,201237,Central,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
Unionville,301480,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Unionville Meadows,301449,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Vellore Woods,401321,West,08:25,00:15,08:40,01:40,10:20,00:20,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Ventura Park,401382,West,08:45,00:15,09:00,02:00,11:00,00:20,11:20,01:20,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Victoria Square,301485,East,07:50,00:15,08:05,01:40,09:45,00:30,10:15,01:40,11:55,01:00,12:55,01:40,,00:00,,00:00,14:35,00:15,14:50
Viola Desmond,401378,West,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Vivian Outdoor,101231,North,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
W.J. Watson,101188,North,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Waabgon Gamig FNS,101154,North,08:45,00:15,09:00,02:00,11:00,00:30,11:30,01:00,12:30,01:00,13:30,02:00,,00:00,,00:00,15:30,00:15,15:45
Walter Scott,201383,Central,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
Wellington,201226,Central,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Wendat Village,101151,North,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Westminster,401385,West,08:20,00:15,08:35,01:40,10:15,00:20,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Whispering Pines,201280,Central,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Whitchurch Highlands,101288,North,08:55,00:15,09:10,01:40,10:50,00:30,11:20,01:40,13:00,01:00,14:00,01:40,,00:00,,00:00,15:40,00:15,15:55
Wilclay,301482,East,08:15,00:15,08:30,01:40,10:10,00:30,10:40,01:40,12:20,01:00,13:20,01:40,,00:00,,00:00,15:00,00:15,15:15
William Armstrong,301484,East,08:10,00:15,08:25,01:40,10:05,00:30,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
William Berczy,301486,East,08:45,00:15,09:00,01:40,10:40,00:30,11:10,01:40,12:50,01:00,13:50,01:40,,00:00,,00:00,15:30,00:15,15:45
Willowbrook,401487,West,08:25,00:15,08:40,01:40,10:20,00:30,10:50,01:40,12:30,01:00,13:30,01:40,,00:00,,00:00,15:10,00:15,15:25
Wilshire,401384,West,08:40,00:15,08:55,01:40,10:35,00:20,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Windham Ridge,201228,Central,08:25,00:15,08:40,02:00,10:40,00:30,11:10,01:00,12:10,01:00,13:10,02:00,,00:00,,00:00,15:10,00:15,15:25
Wismer,301442,East,08:35,00:15,08:50,01:40,10:30,00:30,11:00,01:40,12:40,01:00,13:40,01:40,,00:00,,00:00,15:20,00:15,15:35
Woodbridge,401387,West,08:40,00:15,08:55,01:40,10:35,00:20,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
Woodland,401488,West,07:55,00:15,08:10,01:40,09:50,00:30,10:20,01:40,12:00,01:00,13:00,01:40,,00:00,,00:00,14:40,00:15,14:55
York Academy 0158,201360,Central,07:50,00:15,08:05,01:40,09:45,00:20,10:05,01:40,11:45,01:00,12:45,01:40,,00:00,,00:00,14:25,00:15,14:40
York Academy 2614,201275,Central,08:40,00:15,08:55,01:40,10:35,00:30,11:05,01:40,12:45,01:00,13:45,01:40,,00:00,,00:00,15:25,00:15,15:40
York Academy 3950,201240,Central,08:20,00:15,08:35,01:40,10:15,00:30,10:45,01:40,12:25,01:00,13:25,01:40,,00:00,,00:00,15:05,00:15,15:20
York Academy 4358,301229,East,08:00,00:15,08:15,01:40,09:55,00:30,10:25,01:40,12:05,01:00,13:05,01:40,,00:00,,00:00,14:45,00:15,15:00
York Academy 8095,201359,Central,08:50,00:15,09:05,01:40,10:45,00:30,11:15,01:40,12:55,01:00,13:55,01:40,,00:00,,00:00,15:35,00:15,15:50
York Academy 8132,401389,West,08:20,00:15,08:35,01:40,10:15,00:20,10:35,01:40,12:15,01:00,13:15,01:40,,00:00,,00:00,14:55,00:15,15:10
Yorkhill,401388,West,08:35,00:15,08:50,01:40,10:30,00:20,10:50,01:40,12:30,01:00,13:30,01:40,,00:00,,00:00,15:10,00:15,15:25
YRDSB Elem Virtual School,101121,,08:30,00:15,08:45,01:40,10:25,00:30,10:55,01:40,12:35,01:00,13:35,01:40,,00:00,,00:00,15:15,00:15,15:30
